iter	RMSE
0	10734.97647
1	10543.43293
2	10371.71064
3	10208.99653
4	10060.38469
5	9924.371809
6	9801.015325
7	9681.383138
8	9573.194908
9	9468.553189
10	9374.467722
11	9287.560909
12	9214.2711
13	9142.311479
14	9077.301289
15	9012.580859
16	8955.154592
17	8903.168404
18	8856.928874
19	8812.422102
20	8769.809661
21	8730.545356
22	8693.906891
23	8659.795319
24	8628.339102
25	8601.416876
26	8574.088324
27	8549.687063
28	8526.671474
29	8505.365803
30	8488.803518
31	8471.434377
32	8453.650299
33	8438.348937
34	8423.117827
35	8410.693277
36	8398.285715
37	8385.412832
38	8373.666416
39	8363.675959
40	8353.596083
41	8343.622067
42	8335.296807
43	8326.518572
44	8318.735285
45	8315.793339
46	8308.366934
47	8301.038254
48	8294.531099
49	8287.601847
50	8284.38777
51	8279.853048
52	8273.724455
53	8266.860997
54	8264.453246
55	8259.153639
56	8254.572468
57	8250.601723
58	8246.180182
59	8242.068044
60	8236.297351
61	8231.406728
62	8227.07431
63	8222.727805
64	8218.70551
65	8213.771191
66	8210.886012
67	8209.174034
68	8205.14189
69	8200.213147
70	8196.895609
71	8193.548402
72	8190.207444
73	8188.379747
74	8184.863818
75	8181.648254
76	8179.17
77	8176.216537
78	8173.440019
79	8169.958493
80	8167.177838
81	8163.826143
82	8160.469443
83	8158.245047
84	8155.9029
85	8153.688505
86	8151.760024
87	8149.450179
88	8146.920075
89	8144.217077
90	8141.171614
91	8139.497261
92	8136.964883
93	8135.377466
94	8134.037196
95	8129.654337
96	8127.699354
97	8125.661825
98	8123.699407
99	8121.0168
100	8118.379217
101	8114.35892
102	8112.665344
103	8110.525444
104	8108.545389
105	8106.511028
106	8103.333543
107	8100.629375
108	8097.818055
109	8096.543109
110	8094.43327
111	8091.62368
112	8090.10329
113	8088.223954
114	8085.652398
115	8083.989723
116	8078.164871
117	8076.12633
118	8073.555459
119	8072.34794
120	8072.220356
121	8069.021765
122	8068.02398
123	8065.349281
124	8063.289359
125	8061.925882
126	8059.734209
127	8058.203041
128	8056.889665
129	8055.24927
130	8052.502428
131	8052.247835
132	8050.471734
133	8047.205388
134	8044.381973
135	8042.393683
136	8040.204079
137	8036.617689
138	8034.569683
139	8032.13637
140	8030.825742
141	8027.424382
142	8026.023372
143	8023.573542
144	8021.300322
145	8018.822522
146	8017.714348
147	8015.592196
148	8012.646179
149	8010.787599
150	8008.659334
151	8007.763557
152	8005.50002
153	8002.988559
154	8000.603429
155	8000.51239
156	7998.475717
157	7996.817979
158	7994.672419
159	7994.634032
160	7993.559829
161	7991.452884
162	7990.519517
163	7989.286743
164	7987.934411
165	7986.886468
166	7985.385966
167	7982.75946
168	7982.023207
169	7980.753095
170	7979.000582
171	7975.824718
172	7973.889328
173	7971.163337
174	7971.068767
175	7969.600977
176	7967.631518
177	7965.247264
178	7963.467764
179	7961.075735
180	7959.047222
181	7956.141529
182	7954.26635
183	7952.794284
184	7951.984409
185	7949.840181
186	7948.542939
187	7947.139997
188	7945.379813
189	7942.875523
190	7940.687058
191	7939.050804
192	7937.247208
193	7935.725798
194	7934.329862
195	7931.906011
196	7930.379763
197	7928.918096
198	7927.045573
199	7924.95761
