iter	Passed	Remaining
0	5	1017
1	12	1229
2	20	1366
3	38	1880
4	45	1776
5	50	1628
6	58	1600
7	63	1527
8	69	1466
9	74	1416
10	79	1368
11	86	1357
12	92	1332
13	98	1312
14	103	1278
15	108	1251
16	113	1221
17	116	1180
18	120	1145
19	124	1120
20	128	1098
21	133	1079
22	140	1079
23	149	1094
24	154	1079
25	159	1067
26	164	1050
27	168	1035
28	173	1022
29	178	1010
30	181	990
31	186	981
32	191	970
33	199	975
34	205	968
35	210	960
36	215	949
37	220	938
38	224	928
39	229	917
40	234	908
41	239	900
42	244	891
43	248	882
44	253	872
45	254	853
46	259	845
47	264	838
48	269	831
49	274	823
50	276	809
51	281	801
52	286	794
53	291	786
54	293	773
55	297	766
56	303	760
57	307	753
58	312	746
59	317	740
60	321	733
61	326	727
62	332	721
63	336	715
64	341	709
65	346	703
66	351	698
67	355	689
68	360	684
69	366	681
70	372	676
71	377	670
72	382	665
73	387	660
74	393	655
75	398	649
76	402	642
77	406	636
78	412	631
79	417	625
80	421	619
81	427	614
82	432	609
83	437	604
84	442	598
85	447	593
86	451	587
87	456	581
88	461	575
89	466	569
90	470	563
91	475	557
92	480	552
93	484	546
94	489	540
95	493	535
96	498	529
97	503	524
98	508	519
99	513	513
100	518	507
101	523	502
102	528	497
103	533	492
104	538	487
105	543	481
106	548	476
107	553	471
108	558	466
109	563	460
110	567	455
111	572	449
112	576	443
113	581	438
114	587	434
115	592	428
116	597	423
117	602	418
118	607	413
119	612	408
120	613	400
121	618	395
122	623	390
123	628	385
124	633	380
125	638	375
126	643	369
127	648	364
128	652	358
129	656	353
130	661	348
131	663	341
132	668	336
133	673	331
134	679	326
135	684	322
136	689	317
137	694	311
138	699	306
139	703	301
140	708	296
141	713	291
142	717	286
143	722	280
144	727	275
145	731	270
146	736	265
147	741	260
148	746	255
149	751	250
150	756	245
151	760	240
152	765	235
153	769	229
154	774	224
155	776	218
156	781	213
157	785	208
158	790	203
159	792	198
160	797	193
161	801	188
162	806	183
163	810	177
164	815	173
165	820	167
166	825	163
167	829	158
168	834	153
169	839	148
170	844	143
171	848	138
172	853	133
173	858	128
174	860	122
175	865	117
176	872	113
177	877	108
178	883	103
179	889	98
180	895	93
181	901	89
182	907	84
183	913	79
184	919	74
185	925	69
186	931	64
187	937	59
188	944	54
189	949	49
190	954	44
191	960	40
192	965	35
193	971	30
194	977	25
195	983	20
196	989	15
197	995	10
198	1001	5
199	1007	0
