region,latitude,longitude
north jersey,35.7309716,-80.3153309
northern WI,40.7906871,-124.1673746
modesto,37.6390972,-120.9968782
susanville,40.4274105,-120.65370334155844
salt lake city,40.7596198,-111.886797
gulfport / biloxi,29.421171,-94.69148
atlanta,33.7489924,-84.3902644
portland,45.5202471,-122.674194
waterloo / cedar falls,42.4450463,-92.4189571
roanoke,37.270973,-79.9414313
pittsburgh,40.4416941,-79.9900861
holland,52.2434979,5.6343227
east oregon,43.9792797,-120.737257
yakima,46.601557,-120.510842
memphis,35.1460249,-90.0517638
jacksonville,30.3321838,-81.655651
morgantown,39.6296809,-79.9559437
terre haute,39.4667025,-87.4139119
st cloud,45.5616075,-94.1642004
milwaukee,43.0349931,-87.922497
mankato,44.1634663,-93.9993505
lake of the ozarks,38.1443725,-92.65947435867777
shreveport,32.5135356,-93.7477839
roseburg,43.216505,-123.3417381
columbia,4.099917,-72.9088133
grand island,40.924271,-98.338685
medford-ashland,42.420156,-71.107384
outer banks,35.5669037,-75.4688367
moses lake,47.1301417,-119.278077
"kansas city, MO",39.100105,-94.5781416
humboldt county,40.5997415,-123.8997734
akron / canton,40.9152061,-81.43992419328089
imperial county,33.0305487,-115.3595666
lake charles,30.2305095,-93.2169807
cedar rapids,41.9758872,-91.6704053
savannah / hinesville,31.7884104,-81.6357479
oregon coast,44.6172766,-124.0473054345423
greensboro,36.0726355,-79.7919754
delaware,38.6920451,-75.4013315
muncie / anderson,34.481295,-82.640648
lakeland,28.0394654,-81.9498042
rochester,43.157285,-77.615214
huntington-ashland,41.1232795,-82.2359215
auburn,32.6098566,-85.4807825
lafayette,29.9978185,-83.2221527
muskegon,43.2484584,-86.129351
lincoln,40.8088861,-96.7077751
college station,30.5955289,-96.3071042
dallas / fort worth,32.89651945,-97.0465220537124
iowa city,41.6612561,-91.5299106
waco,31.5491899,-97.1474628
hanford-corcoran,36.3274502,-119.6456844
philadelphia,39.9527237,-75.1635262
valdosta,30.8327022,-83.2784851
north dakota,47.6201461,-100.540737
space coast,-28.1677446,153.5352458
tulsa,36.1563122,-95.9927516
san diego,32.7174202,-117.1627728
deep east texas,29.7311828,-95.4310333
florence / muscle shoals,34.7678925,-87.67396345074114
bozeman,45.6794293,-111.044047
helena,46.5927425,-112.036277
fredericksburg,38.3031837,-77.4605399
fort smith,35.3784666,-94.3996456
northwest GA,43.7769961,-79.5106189
southern illinois,37.7083423,-89.22755559722675
dubuque,42.5006243,-90.6647985
wausau,44.9596017,-89.6298239
columbia / jeff city,38.6533883,-90.21907231085626
fort collins / north CO,40.59276935,-105.07404828968387
battle creek,42.3192548,-85.1824269
oneonta,33.9471315,-86.4714926
lima / findlay,40.7529971,-84.0918988
kenosha-racine,42.7480354,-87.78569866850688
central michigan,42.3310044,-83.0472646
abilene,32.44645,-99.7475905
southeast KS,-23.4637719,-46.680741
hudson valley,41.31611085,-74.12629189225156
boulder,40.0149856,-105.270545
ocala,29.1871986,-82.1400923
bemidji,47.4785418,-94.8907869
hickory / lenoir,35.287663,-77.6541388
greenville / upstate,34.67318365,-82.39612861921913
potsdam-canton-massena,44.6591706,-74.9717927
galveston,29.3872254,-94.992736
oklahoma city,35.4729886,-97.5170536
sandusky,41.2951563,-83.1555438
butte,39.6519275,-121.5858444
syracuse,43.0481221,-76.1474244
sioux falls / SE SD,43.5488256,-96.7307737
del rio / eagle pass,28.7382212,-100.4959844
stillwater,36.1156306,-97.0585717
northwest CT,36.198532,-101.1925326
salem,44.9391565,-123.033121
new hampshire,43.4849133,-71.6553992
appleton-oshkosh-FDL,44.2938381,-88.3698587
okaloosa / walton,30.4057552,-86.618842
finger lakes,52.1292198,-0.4285104383273721
kalispell,48.202158,-114.315321
nashville,36.1622767,-86.7742984
los angeles,34.0536909,-118.242766
charlottesville,38.029306,-78.4766781
santa maria,-29.6860512,-53.8069214
detroit metro,14.6743343,121.1003603
birmingham,52.4796992,-1.9026911
huntsville / decatur,34.627894,-86.902062
sacramento,38.5810606,-121.493895
tampa bay area,27.89799165,-82.51906446720005
scranton / wilkes-barre,41.33709205,-75.72257122928625
eastern shore,38.833496100000005,-77.3042559202443
eastern CT,43.6928729,-79.7472704
lynchburg,37.4137536,-79.1422464
clovis / portales,34.19768,-103.3246785
redding,40.5863563,-122.391675
hawaii,19.593801499999998,-155.42837009716908
texarkana,33.44667445,-94.07714830522015
omaha / council bluffs,41.218369,-95.8164659
maine,45.709097,-68.8590201
york,53.9590555,-1.0815361
mendocino county,39.3176491,-123.4126399
grand forks,47.9078244,-97.0592028
florida keys,24.6670875,-81.5831421
tucson,32.2228765,-110.9748477
kokomo,40.4864444,-86.1336351
north mississippi,52.2864478,4.8711113
duluth / superior,46.7811048,-92.10432924944499
heartland florida,29.01628915,-80.94357209627827
new york city,40.7127281,-74.0060152
lubbock,33.5855677,-101.8470215
southern WV,37.8463451,-81.9917984
indianapolis,39.7683331,-86.1583502
santa fe / taos,35.6923443,-105.9383707
dayton / springfield,39.905318699999995,-84.22024542480268
athens,37.9755648,23.7348324
lexington,38.0464066,-84.4970393
high rockies,50.9986041,-115.3717331
gold country,40.96798855,29.142693109301383
eugene,44.0505054,-123.0950506
southwest VA,39.947594800000005,-75.199079098356
pueblo,38.2544472,-104.609141
hattiesburg,31.3271189,-89.2903392
topeka,39.049011,-95.677556
santa barbara,34.4221319,-119.702667
florence,43.7698712,11.2555757
monroe,38.2722313,-90.1792484
chicago,41.8755616,-87.6244212
madison,43.074761,-89.3837613
las vegas,36.1672559,-115.148516
grand rapids,42.9632425,-85.6678639
northern michigan,46.56132435,-87.41048112721177
lawton,34.6086854,-98.3903305
lewiston / clarkston,46.4195913,-117.0216144
colorado springs,38.8339578,-104.825348
myrtle beach,33.6956461,-78.8900409
sarasota-bradenton,27.395988350000003,-82.55407423064528
jersey shore,41.2020171,-77.2644152
wyoming,43.1700264,-107.568534
rapid city / west SD,44.0806041,-103.2280239
eastern montana,14.57639745,121.08223408692635
wichita falls,33.9004572,-98.5020777
east idaho,48.2691331,-116.5471244
wichita,37.6922361,-97.3375448
twin falls,42.5704456,-114.4602554
richmond,37.5385087,-77.43428
mohave county,35.7218038,-113.827117
"st louis, MO",38.6280278,-90.1910154
eastern kentucky,37.5170432,-82.805994
austin,30.2711286,-97.7436995
brownsville,25.9015688,-97.4984005
flagstaff / sedona,29.4836274,-95.1139039
olympic peninsula,47.603511350000005,-123.67973337678276
lafayette / west lafayette,42.3389377,-83.03870283998197
ann arbor,42.2681569,-83.7312291
elko,41.1958128,-115.3272864
cincinnati,39.1014537,-84.5124602
orange county,33.7500378,-117.8704931
south coast,33.7040161,-117.8804373
houston,29.7589382,-95.3676974
western maryland,39.838066,-79.01503
pensacola,30.421309,-87.2169149
eastern CO,16.0740149,120.3412972
albany,41.000028,19.9999619
charlotte,35.2272086,-80.8430827
rockford,42.2713945,-89.093966
sierra vista,31.5545973,-110.2997756
winston-salem,36.0998131,-80.2440518
jonesboro,35.8272257,-90.6949871
southern maryland,14.470892,120.9999713
corvallis/albany,44.6308249,-123.1020937
scottsbluff / panhandle,41.892231699999996,-103.68260709673888
laredo,27.5030915,-99.5075644
tyler / east TX,32.2057704,-95.8432058
merced,37.1641544,-120.7678602
south bend / michiana,41.7599976,-86.2505031
beaumont / port arthur,30.0282872,-94.0882388
chattanooga,35.0457219,-85.3094883
youngstown,41.1035786,-80.6520161
palm springs,33.772179449999996,-116.49529769683983
odessa / midland,31.9061867,-102.2839569
yuma,32.665135,-114.47603157249804
skagit / island / SJI,48.4596092,-121.7332784
poconos,41.0256428,-75.6046334
pullman / moscow,46.74046085,-117.11616790689413
ventura county,34.4458248,-119.0779359
southwest KS,38.3052084,-99.0245618
fresno / madera,36.9695692,-120.0742215
victoria,-36.5986096,144.6780052
cleveland,41.4996574,-81.6936772
farmington,44.6402434,-93.1435497
state college,40.7944504,-77.8616386
SF bay area,37.7884969,-122.3558473
stockton,37.9577016,-121.2907796
northeast SD,-3.1326487,-39.7418654
harrisburg,40.2663107,-76.8861122
western massachusetts,42.1125825,-72.51478135359363
mason city,43.1524574,-93.2017941
saginaw-midland-baycity,43.4200387,-83.9490365
kalamazoo,42.291707,-85.5872286
roswell / carlsbad,34.02332,-84.360022
montgomery,32.3669656,-86.3006485
inland empire,47.6438308,-117.4426685
spokane / coeur d'alene,47.687231,-116.7892534
tallahassee,30.4380832,-84.2809332
raleigh / durham / CH,35.9301545,-78.7566849
louisville,38.2542376,-85.759407
southeast missouri,-23.59134615,-46.621871760615804
utica-rome-oneida,43.07816205,-75.5147867816779
zanesville / cambridge,39.9700862,-82.0089733
panama city,30.1586518,-85.6602936
erie,42.1294712,-80.0852695
el paso,31.7550511,-106.4882345
brainerd,46.3580221,-94.2008288
boise,43.6008183,-116.24210864118032
st george,37.104153,-113.5841313
southwest MN,44.9123474,-93.3010387
northwest OK,35.47640095,-97.52947465135101
billings,45.7874957,-108.49607
south florida,37.1677128,-94.8464256
asheville,35.595076,-82.5528478
bellingham,48.7544012,-122.478836
manhattan,40.7896239,-73.9598939
central NJ,39.830107,-74.978493
corpus christi,27.7635302,-97.4033191
la salle co,28.3391148,-99.0982257
bakersfield,35.3738712,-119.0194639
norfolk / hampton roads,36.8479165,-76.2902105
ft myers / SW florida,26.53294975,-81.75880562612211
seattle-tacoma,47.24010645,-122.4120114977263
new haven,41.3082138,-72.9250518
mcallen / edinburg,26.2981263,-98.2075117
tri-cities,38.9020075,-77.0431824
amarillo,35.2072185,-101.833824
northern panhandle,37.7724029,-122.44695879884695
cape cod / islands,41.5752554,-70.50477828239752
gadsden-anniston,33.705702,-85.857892
fairbanks,64.837845,-147.716675
peoria,40.6938609,-89.5891008
worcester / central MA,42.2612043,-71.7950711
brunswick,34.0718195,-78.1914215
bismarck,46.808327,-100.783739
visalia-tulare,36.3302284,-119.292058
columbus,39.9622601,-83.0007065
boston,42.3554334,-71.060511
missoula,46.8701049,-113.995267
fort wayne,41.0799898,-85.1386015
st joseph,39.7686055,-94.8466322
vermont,44.5990718,-72.5002608
daytona beach,29.2108147,-81.0228331
altoona-johnstown,40.518681,-78.394736
yuba-sutter,39.1406942,-121.617172
bend,44.0581728,-121.3153096
jackson,32.2998686,-90.1830408
eau claire,44.811349,-91.4984941
kennewick-pasco-richland,46.1742404,-119.0693344
green bay,44.5126379,-88.0125794
monterey bay,36.7999557,-121.9010668
mobile,30.6913462,-88.0437509
lehigh valley,40.5887558,-75.564283
cumberland valley,42.6620502,-83.54580562782114
siskiyou county,41.6862466,-122.5360121
western slope,41.33503545,-73.51138199065552
janesville,42.6829765,-89.0226793
hartford,41.764582,-72.6908547
evansville,37.970495,-87.5715641
annapolis,38.9786401,-76.492786
la crosse,43.8122836,-91.2514355
charleston,32.7884363,-79.9399309
south dakota,44.6471761,-100.348761
minneapolis / st paul,44.878019050000006,-93.2209280537696
"washington, DC",38.8950368,-77.0365427
sioux city,42.4966815,-96.4058782
joplin,37.0841838,-94.5133385
lancaster,40.08067,-76.2411283
little rock,34.7465071,-92.2896267
port huron,42.9815877,-82.440466
new orleans,29.9759983,-90.0782127
southwest michigan,42.3140653,-83.1061567
anchorage / mat-su,61.2163129,-149.894852
bloomington,39.1670396,-86.5342881
wenatchee,47.4234599,-120.310349
the thumb,43.53634355,-83.10211377092799
fayetteville,36.0625843,-94.1574328
flint,43.0161693,-83.6900211
upper peninsula,46.5436104,-87.3962884
western KY,37.13705965,-88.04102047207417
baton rouge,30.4494155,-91.1869659
chautauqua,42.2894671,-79.421728
chico,39.7284945,-121.8374777
south jersey,33.8583113,-118.0858136
phoenix,33.4484367,-112.074141
northwest KS,33.7779233,-84.39319849265192
ames,50.536715,2.4086536
north central FL,8.28269675,80.48487080048955
gainesville,29.6519684,-82.3249846
eastern NC,35.8015496,-80.2314737
las cruces,32.3140354,-106.779807
watertown,42.3652226,-71.1843771
