id,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price,latitude,longitude,car_age,gas_fueled,diesel_fueled,hybrid_fueled,electric_fueled,front_wheel_drive,four_wheel_drive,rear_wheel_drive,automatic_transmission,manual_transmission
0,1949,bmw,5.0,6.0,gas,115148,clean,manual,rwd,midsize,convertible,orange,27587,36.1622767,-86.7742984,74,1,0,0,0,0,0,1,0,1
1,2013,toyota,1.0,8.0,gas,172038,clean,automatic,rwd,fullsize,sedan,silver,4724,40.7944504,-77.8616386,10,1,0,0,0,0,0,1,1,0
2,1998,ford,2.0,6.0,gas,152492,clean,automatic,fwd,fullsize,suv,silver,10931,37.6922361,-97.3375448,25,1,0,0,0,1,0,0,1,0
3,2014,ford,5.0,4.0,gas,104118,clean,manual,fwd,midsize,suv,blue,16553,41.000028,19.9999619,9,1,0,0,0,1,0,0,0,1
4,2005,ford,5.0,6.0,gas,144554,clean,manual,fwd,midsize,sedan,red,5158,40.5863563,-122.391675,18,1,0,0,0,1,0,0,0,1
5,2013,nissan,2.0,4.0,gas,133208,clean,automatic,4wd,fullsize,suv,black,7941,34.7678925,-87.67396345074114,10,1,0,0,0,0,1,0,1,0
6,2014,volkswagen,5.0,6.0,gas,131104,clean,automatic,fwd,midsize,sedan,blue,5860,44.6172766,-124.0473054345423,9,1,0,0,0,1,0,0,1,0
7,2006,bmw,2.0,6.0,gas,158776,clean,manual,fwd,midsize,coupe,red,2799,42.420156,-71.107384,17,1,0,0,0,1,0,0,0,1
8,2013,bmw,5.0,6.0,gas,127167,clean,manual,fwd,fullsize,sedan,black,6036,37.5385087,-77.43428,10,1,0,0,0,1,0,0,0,1
9,2012,volkswagen,2.0,4.0,gas,150319,rebuilt,automatic,fwd,midsize,sedan,orange,7341,42.8867166,-78.8783922,11,1,0,0,0,1,0,0,1,0
10,2011,bmw,5.0,6.0,other,101850,clean,manual,4wd,fullsize,suv,black,10880,45.7874957,-108.49607,12,0,0,0,0,0,1,0,0,1
11,2010,ford,5.0,6.0,gas,95511,rebuilt,automatic,fwd,midsize,sedan,blue,5757,35.3738712,-119.0194639,13,1,0,0,0,1,0,0,1,0
12,2018,ford,5.0,4.0,gas,55662,rebuilt,automatic,fwd,midsize,coupe,silver,11039,39.830107,-74.978493,5,1,0,0,0,1,0,0,1,0
13,2010,lexus,5.0,6.0,gas,81936,clean,automatic,fwd,midsize,other,white,8760,41.000028,19.9999619,13,1,0,0,0,1,0,0,1,0
14,2005,ford,5.0,6.0,gas,107934,clean,automatic,fwd,midsize,suv,black,17244,42.2612043,-71.7950711,18,1,0,0,0,1,0,0,1,0
15,1999,nissan,5.0,6.0,gas,54481,partsonly,automatic,4wd,fullsize,minivan,black,3389,44.811349,-91.4984941,24,1,0,0,0,0,1,0,1,0
16,2006,buick,5.0,-1.0,gas,152762,clean,automatic,fwd,fullsize,sedan,silver,3963,37.6922361,-97.3375448,17,1,0,0,0,1,0,0,1,0
17,2012,ford,,4.0,other,129491,clean,automatic,4wd,fullsize,suv,black,36783,34.67318365,-82.39612861921913,11,0,0,0,0,0,1,0,1,0
18,1995,volkswagen,1.0,6.0,other,193124,clean,automatic,fwd,midsize,sedan,white,3289,46.601557,-120.510842,28,0,0,0,0,1,0,0,1,0
19,2013,subaru,5.0,4.0,gas,124912,clean,manual,4wd,midsize,suv,silver,27556,37.6922361,-97.3375448,10,1,0,0,0,0,1,0,0,1
20,1996,ram,1.0,8.0,gas,177974,clean,automatic,4wd,fullsize,pickup,red,4688,38.8950368,-77.0365427,27,1,0,0,0,0,1,0,1,0
21,2008,ford,2.0,4.0,gas,162412,clean,manual,fwd,midsize,sedan,red,3907,33.77217945,-116.49529769683984,15,1,0,0,0,1,0,0,0,1
22,2014,ford,5.0,6.0,gas,83288,clean,automatic,fwd,fullsize,suv,white,20237,39.1014537,-84.5124602,9,1,0,0,0,1,0,0,1,0
23,2016,ford,5.0,6.0,diesel,147583,rebuilt,manual,4wd,fullsize,pickup,white,37763,42.2713945,-89.093966,7,0,1,0,0,0,1,0,0,1
24,2015,ford,,4.0,gas,161608,clean,automatic,fwd,fullsize,suv,red,7271,43.157285,-77.615214,8,1,0,0,0,1,0,0,1,0
25,2012,bmw,5.0,6.0,gas,155568,clean,automatic,4wd,midsize,suv,blue,11945,40.08067,-76.2411283,11,1,0,0,0,0,1,0,1,0
26,2012,toyota,5.0,4.0,gas,130992,clean,manual,fwd,midsize,sedan,black,9235,40.5863563,-122.391675,11,1,0,0,0,1,0,0,0,1
